Forget-Me-Nut Swirl;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;
Nutritional values per 100g/ml;100;g;;264.1;13.6;31.1;6.6;6.8;0.2;;;;
Nutritional values per serving (for 1 tub);75;g;;198.1;10.2;23.4;4.9;5.1;0.1;;;;
;;;;;;;;;;;;;
FPDF / PAC (target 20..30);42.64;;;;;;;;;;;;
ℹ️ Net carbs;9.4;g;;*∝ 5 servings@15g:* 1.9g;;;*∝ 3 servings@25g:* 3.1g;;;;;;
;;;;;;;;;;;;;
"A scandalously smooth frozen memento of caramel nostalgia and unapologetically nutty, impossible to forget once tasted.

Combine with your favorite vanilla or chocolate base.";;;;;;;;;;;;;
;;;;;;;;;;;;;
Rating: 😋🥜 (untested);;;;;;;;;;;;;
;;;;;;;;;;;;;
1. Weigh and mix all ingredients in a small bowl.;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%]
Syrup Caramel (low-sugar) [Sukrin];40.00;ml;0;149.00;0.00;21.00;1.80;0.00;0.07;;;14g sorbitol, erythritol, stevia;10.00
Peanut butter (crunchy, organic) [REWE];20.00;g;0;604.00;51.00;7.30;4.50;25.00;0.43;;;250g glass jar;
Erythritol (E968);10.00;g;0;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00
Molasses [Grafschafter Goldsaft];5.00;g;0;306.00;0.50;70.00;66.00;2.30;0.03;0.66;;Sweetness = 66%;
Cream 32% [REWE Beste Wahl];;ml;0;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;
Glycerin (E422, VG) [hd-line];;g;0;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00
PB powder [Fitmeals];;g;0;387.00;14.00;30.00;6.00;50.00;0.00;0.06;;;
