Banana Ice Cream (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;91.2;1.5;14.5;5.5;5.4;0.2;;;
Nutritional values per ½ Deluxe Tub;360;g;;328.2;5.3;52.1;19.6;19.3;0.8;;;
Nutritional values total;720;g;;656.4;10.5;104.3;39.3;38.6;1.6;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.02;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";23.51%;;;;LOW-FAT;;;Hi-Protein;;;;
Milk Solids Non-Fat (MSNF, 7-11%);33.8;g;;4.7%;;;;;;;;
;;;;;;;;;;;;
FroYo spin, mix-in with crushed cantuccini, and topped with almonds.;;;;;;;;;;;;
Very dense and non-melty, no ice crystals whatsoever.;;;;;;;;;;;;
;;;;;;;;;;;;
With brandy added: ice-free soft-serve after Light Ice Cream spin, scrape down, and a Respin.;;;;;;;;;;;;
Rating: 😋😋😋😋🍦;;;;;;;;;;;;
30g Ice Cream Stabilizer (ICSv2) is;"14.3g erythritol, 1.43g Tylose powder (CMC, E466), 
0.5g tara gum (E417), 0.15g xanthan (E415),
14.3g inulin, 0.5g salt.";;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Skim Milk 1.5% [Weihenstephan];;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;
Soy milk 1.6% (sugar-free) [Berief];250.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;;
Bananas (peeled);225.00;g;1;108.00;0.60;21.50;16.00;1.22;0.03;0.16;;2 mid-size or 3 small pieces, eat any surplus 😋
Cottage Cheese 4% [REWE Bio];100.00;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml"
Fruit Brandy 40 vol%;10.00;g;1;280.00;;;;;;2.96;;
Vanilla flavor drops [IronMaxx];5.00;drops;1;;;;;;;;;
Lemon juice;5.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;
ICSv2 [Erythritol / CMC / Tara / XG / Inulin];30.00;g;2;107.3;0.0;54.7;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj
Whey protein Vanilla [MaxiNutrition];20.00;g;2;392.00;5.80;6.20;5.30;78.00;0.57;0.05;89.20;
Xylitol;20.00;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7"
;;;;;;;;;;;;
Water to MAX line;45.00;ml;3;0.00;0.00;0.00;0.00;0.00;0.00;;;
;;;;;;;;;;;;
Nov 15, 2024;Add 1cl brandy;;;;;;;;;;;
Jan 1, 2025;Add lemon juice;;;;;;;;;;;
Jun 8, 2025;Use soy milk (less sugar);;;;;;;;;;;
