Mango Kulfi (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;129.3;6.3;20.4;6.0;1.0;0.1;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;439.6;21.6;69.3;20.5;3.3;0.3;;;;;
Nutritional values total;680;g;;879.8;43.2;138.6;41.0;6.7;0.5;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);32.00;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";3.03%;;;;;;;;Low-Salt;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);34.9;g;;5.1%;;;;;;;;;;
ℹ️ Net carbs;88.7;g;;*∝ 5 servings@136g:* 17.7g;;;*∝ 3 servings@227g:* 29.6g;;;*energy ratio (low <20%):* 40.3%;;;;
;;;;;;;;;;;;;;
"*Mango Kulfi* is a rich and creamy frozen dessert that combines the tropical sweetness of mangoes
with the smooth, velvety texture of coconut milk and a hint of fragrant cardamom.

This dairy-free twist on the traditional Indian treat is both refreshing and indulgent,
making it a perfect way to cool down on hot days or end a meal with something exotic yet comforting. ";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Processed on Sorbet, scrape-down and a mix-in run.

Rating: 😋🥥🥭  (changed recipe)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Mix the coconut milk powder and the GMS in a medium-sized bowl.
 1. Add the hot water and whisk until clump-free.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Water (hot);150.00;ml;0;;;;;;;;;*alternative:* 225ml coconut milk 18.5%;;1
Coconut Milk Powder 54% [Green Essence];75.00;g;0;640.00;55.00;40.25;1.25;6.25;0.13;;46.50;;;1
Glycerol Monostearate (E471) [Bulk];2.00;g;0;415.00;;;;;;;;*alternative:* lecithin;;1
Mango;300.00;g;1;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;;;1
Lemon juice;30.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;;;1
Coconut milk 22% [REWE Bio];;ml;1;222.00;22.00;4.00;4.00;2.00;0.04;0.04;;;;1
SweEX (Erythritol + Xylitol 3:2);35.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 47g allulose or dextrose;100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];10.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 1g guar, 0.3g xanthan, and 0.3g salt;73.80;1
Waxy Maize Starch (E1442) [Ultratex];10.00;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;"dissolves easily; use 1-5%";;1
Cardamom;1.00;pinch;2;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Water to MAX line;42.00;ml;3;;;;;;;;;;;1
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];≈7;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
